#, +/-,Tier,Player,Projected Position(s),Position Rank,NBA Team,Draft Pick,Contract Details,DOB,Class,Age,Previous Rank, +/- Change,"Notes/Outlook, Updated 7/10/2026",GP,MP,FG%,PTS,3PTA,3PTM,REB,AST,STL,BLK,TO,FT%
11,,3,Brayden Burries,SG/PG,SG3,MIL,1.1,Rookie Scale,2005-09-18,FR,20.86027397,,,"The first of Milwaukee's draft picks in the post-Giannis era is Brayden Burries, a high-floor prospect with a higher ceiling than many might believe. Burries has a good complementary skillset and off-ball appeal, and with more on-ball reps in Milwaukee, he could absolutely explode. Big fan of this fit and as him being a long-term building block next to Ryan Rollins.",39,29.8,49.1,16.1,4.6,1.8,4.9,2.4,1.5,0.2,1.5,80.5
12,-2,3,Yaxel Lendeborg,PF,PF3,GSW,1.11,Rookie Scale,2002-09-30,SR,23.82739726,,,"There's going to be a lot of people that are iffy about drafting a rookie turning 24 before his regular season debut, but Yaxel is really like that. Great do-it-all glue guy who can stuff the sheets like crazy and should be a worthwhile piece for Golden State. I think it will take a little time to work his way up as a bench piece and may not come immediately, but there are routes to being a very good starter in this league.",40,30.2,51.5,15.1,4.5,1.7,6.8,3.2,1.1,1.2,1.1,82.4
13,1,3,Ebuka Okorie,PG/SG,PG5,DET,1.17,Rookie Scale,2007-04-10,FR,19.30136986,,,"Boy, am I high on this fit. Despite not playing against a ton of impressive competition at Stanford, there is a great deal to like with Okorie's profile. If you're looking for possible star indicators, Okorie definitely has one of those with his high-caliber slashing. Cade Cunningham has badly needed a secondary creator and slasher next to him, so this could be a match made in heaven.",31,35.1,46.5,23.2,5.7,2,3.6,3.6,1.6,0.3,1.9,83.2
14,-1,3,Dailyn Swain,SG/SF,SF2,CHI,1.15,Rookie Scale,2005-07-15,JR,21.03835616,,,"Bryson Graham was in New Orleans when they unlocked Naji Marshall. He hired Tiago Splitter who coached Deni Avdija. Those are the outcomes we can see for Dailyn Swain. Now, he's not as good of a passer as the raw assist numbers would indicate. There's a lot of messy turnovers. The shot is a massive work in progress. This is a real boom or bust swing. If he hits, you've got a real prize on your hands.",36,32.8,54.2,17.3,2.6,0.9,7.5,3.6,1.6,0.3,2.7,81.5
15,2,3,Hannes Steinbach,C,C4/PF5,CHA,1.14,Rookie Scale,2006-05-01,FR,20.24383562,,,"Steinbach is the best rebounder in the class and has flashed some fantasy juice. Some of my size concerns were quelled with his Combine measurements, but I really need to see improvement on defense. I think Charlotte is a good spot for him to maximize his skillset and improve. He and Moussa Diabate should be able to balance each other really well, especially if Hannes can shoot.",30,34.6,57.7,18.5,1.8,0.6,11.8,1.6,1.1,1.2,2,75.9
16,-1,3,Bennett Stirtz,PG/SG,PG4,OKC,1.16,Rookie Scale,2003-10-03,SR,22.81917808,,,"This is one of the most OKC-coded picks you can imagine. Dribble-pass-shoot archetype, can make quick decisions, wins and dominates wherever he's gone, and is a great human being and leader. The fantasy game is very strong. It might take a bit for him given OKC's depth, but I don't think it takes as long as some others may think. Some ideal outcomes for him: Malcolm Brogdon and Ty Jerome. ",37,37.7,47.7,19.8,6.9,2.5,2.6,4.4,1.4,0.2,1.8,84.8
17,,,Christian Anderson Jr.,PG/SG,,CHA,1.18,Rookie Scale,2006-04-02,SO,20.32328767,,,"This LaMelo Ball trade could make things interesting for Anderson. He is a great shooter and playmaker who offers a lot of solid skills from a fantasy perspective. The concerns here are his size, defense and whether he's capped as a backup guard or not. There could be a good role with him and Coby White in the mix. Don't overreact too hard and overdraft Anderson yet. Stock is up, but let's see what happens.",33,38.4,47.2,18.5,7.9,3.3,3.6,7.4,1.5,0.2,3.3,80.5
18,,4,Cameron Carr,SG/SF,SG5,LAL,1.24,Rookie Scale,2004-11-21,JR,21.6846246,,,"Cameron Carr ended up falling further in the draft than what many people were expecting. This was partly due to frame and weight, but there's no denying that the fantasy skillset is enticing. There's a real upside swing if he can put on more weight (think something like Isaiah Joe or Devin Vassell-ish). The fit with Luka and the Lakers is exceptional and he may be asked to take up a decent sized role as a rookie.",34,33.7,49.4,18.9,6.1,2.3,5.8,2.6,0.9,1.3,2.4,80.1
19,1,4,Allen Graves,PF,PF8,TOR,1.19,Rookie Scale,2006-07-28,FR,20.00273973,,,"Most of you following our work know our team is incredibly skeptical of Allen Graves. He is an analytical darling and with more development, he could really be something. I have my share of concerns, but if there's one team that could use him effectively, it's Toronto. Darko Rajakovic is going to have a lot of fun with him. The range probably starts in the early 10s and this is likely the lowest end for him.",35,22.6,51.2,11.8,2.6,1.1,6.5,1.8,1.9,0.9,0.7,75
20,-1,3,LaBaron Philon,PG/SG,PG6,PHI,1.22,Rookie Scale,2005-11-24,SO,20.67671233,,,"Philon took a big leap as a sophomore. Very good guard profile for fantasy and shows a lot of capability if he can play well off-ball. The landing spot in Philadelphia caps the long term upside behind Maxey and Edgecombe, but I’m willing to bet on the talent with bench scoring being a key need. He'll have some bottleneck with Jaylen Brown and Anfernee Simons now here as well.",33,30.9,50.1,22,6.2,2.5,3.5,5,1.2,0.2,2.5,79.8
21,-1,4,Nate Ament,SF/PF,PF6,MIL,1.13,Rookie Scale,2006-12-10,FR,19.63287671,,,"The Milwaukee Bucks get their guy at 13. If you're drafting Nate Ament, I would be very hesitant on expecting much high level production as the fantasy game isn't too strong. While he will likely get some run as one of the key pieces in the Giannis trade, this is a risk if you take him too high. While he is good with points and rebounds, everything else can be a little lackluster. Draft him at your own risk and level of patience.",35,29.7,39.9,16.7,3.9,1.3,6.3,2.3,1,0.6,2.3,79
22,-4,4,Karim Lopez,SF/PF,SF4,MEM,1.21,Rookie Scale,2007-04-12,N/A,19.29589041,,,"Karim Lopez doesn't have the most appealing fantasy skillset, but he was a productive player in Australia the past couple seasons. He is pretty theoretical with his current abilities, but if Memphis thinks they can utilize his strengths as a cutter, he could be someone that has a solid statline while not doing anything at a high level. Could be a great buy next offseason if he starts out slow.",30,25.6,49.4,11.9,3,1,6.1,1.9,1.2,1,1.5,73.9
23,7,4.5,Sergio De Larrea,PG/SG,PG7,DAL,1.25,Rookie Scale,2005-12-04,N/A,20.64931507,,,"Sergio de Larrea was one of the best players on one of the best teams in Europe. He enters into a situation in Dallas with a coach who really values positional size and quick decision makers. Sergio could become a core piece quicker than you might think. He can play on and off the ball. He can shoot 3's. The defense and off-ball play will need some work, but the upside is very strong here.",72,14.8,43.6,7.1,2.5,1,2.2,2.7,0.5,0.2,1.4,81.1
24,-3,3,Jayden Quaintance,C,C3,SAS,1.2,Rookie Scale,2007-07-11,SO,19.04931507,64,0,"It's no secret that Quaintance is an elite defender, but his knee issues have made him tumble down boards. It's going to be a bit concerning that San Antonio added two bigs with him and Tarris Reed, but I think there's worlds for both to exist. I'm expecting JQ will miss most of, if not all of this season. He's a risky pick, so if you worry about the injuries or are an impatient manager, STAY AWAY.",28,27.7,52.9,8.8,1.1,0.2,7.5,1.4,1,2.4,1.9,45.2
25,1,4,Tarris Reed Jr.,C,C6,SAS,1.26,Rookie Scale,2003-08-05,SR,22.98082192,,,"Tarris Reed is a different style of big man, and as I said above, there are worlds where he and Quaintance can coexist. Reed is your more traditional, albeit technically skilled, big man and is built like a bowling ball. The stats reflect that. Long term, this is going to be a depth chart to heavily monitor depending on Quaintance's health, but early on, expect Reed to take on a role early as Luke Kornet is phased out.",35,27.3,60.7,14.7,0.1,0,9,2.3,0.9,2,1.9,61.7
26,3,4.5,Koa Peat,PF,PF9,PHO,1.3,Rookie Scale,2007-01-20,FR,19.52054795,,,"Koa Peat fits a lot of what Matt Ishbia's desired culture is. He plays hard, he's physical, and he's willing to buy into a role. Phoenix has a handful of these interesting forwards that are works in progress to some degree. Koa is a better decision maker than all of them, but he could possibly end up as a worse shooter than Dunn. Ultimately, it will come down to the shot for the hometown kid. ",36,27.8,52.8,14.1,0.6,0.2,5.6,2.6,0.6,0.7,1.6,62.3
27,5,,Bruce Thornton,PG,PG9,HOU,2.01,4 Years/$9.3 Million,2003-09-14,SR,22.87123288,,,"Thornton was a high octane offensive player at Ohio State. He's a strong driver and rebounder. Ultimately, the biggest concerns are that he probably needs to slim down to play in the NBA, and he's reliant on having the ball. If he can learn how to play off the ball, it will work very well. I expect Ime Udoka will like him as a player as well. We love this fit in Houston.",34,36.5,55.4,19.9,4.6,1.8,5.1,3.9,1.1,0.2,1.3,82.9
28,-5,4,Chris Cenac Jr.,PF/C,PF7/C5,BOS,1.27,Rookie Scale,2007-02-01,FR,19.48767123,,,"Chris Cenac Jr. is your prototypical modern-day big in the mold of an Alex Sarr or Evan Mobley type of player. He's very raw and has a lot of growing to do on both sides of the ball, but the flashes suggest he's got a lot to build on at the NBA level that teams will like and fantasy managers should be patient with. Boston is certainly an ideal landing spot, but he's going to need a lot of time to earn Mazzulla's trust.",37,24.8,48.5,9.5,2.4,0.8,7.9,0.7,0.8,0.5,0.9,62.1
29,-2,4.5,Zuby Ejiofor,PF/C,PF10/C7,ATL,1.23,Rookie Scale,2004-04-20,SR,22.27205629,,,"Zuby's got some real juice to his fantasy game that may make him an appealing target in your fantasy drafts. Real junkyard dog, scrappy energy guy type. The fantasy profile is solid, no doubt about it, but frankly, I'm just not a big fan of the fit in Atlanta. I need to see more to really be more convinced on his outlook playing with Onyeka Okongwu. ",37,30,53.6,16.3,1.6,0.5,7.3,3.5,1.2,2.1,2.1,71.8
30,5,6,Baba Miller,PF,PF13,LAC,2.06,TBD,2004-02-07,SR,22.47150984,,,"The Sheep lands in LA! Baba Miller has been on draft radars for a while and had a nice breakout season. Very good rebounder, lanky, good defender, can pass. The fantasy appeal is all there. The biggest thing is the shooting and how he will score at the NBA level. Getting a similar player to John Collins on that development track on a cost-controlled contract should be fun.",31,31.9,52.9,13,1.7,0.3,10.3,3.7,0.7,1.2,2.2,65.8
31,-5,4,Joshua Jefferson,SF/PF,SF4,BKN,1.28,Rookie Scale,2003-11-21,SR,22.68493151,,,"It makes perfect sense that Sean Marks and Jordi Fernandez really like Joshua Jefferson. He's a malleable role player who checks their boxes as a solid passer and has shown he can be an offensive hub on a good Iowa State team. The fantasy profile could be very good, even for a young rebuilder like Brooklyn despite the landing spot not being super ideal.",35,30.9,47.1,16.4,3.1,1.1,7.4,4.8,1.6,0.8,2.5,70
32,-3,4.5,Meleek Thomas,SG,SG7,CLE,2.04,4 Years/$9.26 Million,2006-08-06,FR,19.97808219,,,"Meleek Thomas's AST/TO would indicate he's a fine decision maker. Frankly, he might be the absolute worst decision maker in this draft. He's a very good shooter with potential to have the ball in his hands and score. The defense was really bad at times this year even though he's got the tools. Do not expect him to play much in Year 1 and maybe not even in Year 2 unless there's rapid improvement in his weaknesses. ",37,30.5,43.5,15.6,5.3,2.2,3.8,2.5,1.5,0.2,1,84.3
33,5,6,Richie Saunders,SG/SF,SG12,MEM,2.02,TBD,2001-09-19,SR,24.85753425,,,"Look, Richie Saunders might be on the older side and has a torn ACL that likely forces him out for most if not the whole year, but Memphis spending an early 2nd round pick on him should tell you everything. He was a real first round talent at BYU and has a very complete profile. I'm confident he's going to yield very good ROI in this range.",25,31.4,48.9,18,6.8,2.6,5.8,2.1,1.7,0.3,1.6,81.7
34,9,6,Alex Karaban,SF/PF,SF5,SAC,1.29,Rookie Scale,2002-11-11,SR,23.71232877,,,"Karaban is a jack-of-all-trades forward that has some interesting fantasy appeal as a connective piece and shooter. There are no star outcomes here and the upside is not super high, but there are good role player outcomes and it really speaks volumes that Sacramento has to spend first round capital to ensure they got him. Good leader, winning player and is a key part of Sacramento aiming to bolster their culture.",40,34.3,46.4,13.2,5.2,1.9,5.3,2.4,0.8,0.8,1.1,85.1
35,-3,4.5,Henri Veesaar,C,C8,ATL,2.22,4 Years/$9.26 Million,2004-03-28,JR,22.33489782,,,"Henri Veesaar's draft capital might make some people worry, but this was pretty clearly agent manipulation to get him to a desired landing spot. He ends up in Atlanta and his rank ends up largely the same. Despite being 7 feet tall, he's very skinny and could get pushed around at the next level. Still, he can shoot and bigs like him are worth the fantasy gamble.",31,31.4,60.8,17,3,1.3,8.7,2.1,0.6,1.2,1.7,61.5
36,-2,5,Isaiah Evans,SG/SF,SG8,MIN,2.03,TBD,2005-12-06,SO,20.64383562,,,"I'm skeptical of Isaiah Evans' fantasy upside. He may ultimately project as a one-dimensional shooting specialist, but the landing spot is certainly interesting in Minnesota to inject some 3&D juice into the rotation. We know Chris Finch doesn't trust young guys easily, so if Evans can improve as a defender and make the most of his Year 1 opportunities, there could be something here.",38,28.2,43.3,15,7.4,2.7,3.2,1.3,0.7,0.7,1.1,86
37,-4,,Ryan Conwell,SG,SG9,MIA,2.07,3 Years/$6.5 Million,2004-06-15,SR,22.11905083,,,"Ryan Conwell heading to Miami is interesting on a lot of levels. Their depth is depleted after the Giannis trade. They have made these tweener, hard working guards work before. There is a bit of Kendrick Nunn to his game. The question is whether or not he can create his on shot in the NBA. As of right now, the projection just looks like a slightly undersized spot shooter.",34,30.9,40.8,18.8,9.6,3.3,4.8,2.7,1.1,0.2,2.1,83.2
38,,6,Emanuel Sharp,SG,SG11,SAC,2.15,3 Years/$6.5 Million,2004-03-07,SR,22.39227487,,,"Much like the Alex Karaban pick, Emanuel Sharp is another one of Sacramento's types of guys this front office is seeking: Off-ball players who are unselfish with good BBIQ. High motor and character guys who lead and keep their heads up. 3&D skills. With Sharp, they're getting an off-ball 2 that can come off the bench and hit from range. Can he do much else in the NBA? We'll see. ",37,29.4,41.3,15.5,7.1,2.6,3,1.7,1.2,0.1,1,89.1
39,2,5,Ugonna Onyenso,C,C9,DET,2.23,Two-Way (2 Year Deal),2004-09-25,SR,21.8403623,,,"Ugonna Onyenso is a high-level shot blocker with some good defensive skills to build on. Despite the draft capital, he comes into Detroit following the Isaiah Stewart trade and could end up as the 3rd string big man behind Jalen Duren and Paul Reed. Keep an eye on Onyenso here. There could be a sneaky add here, especially if he does get a guaranteed deal.",36,18.6,56.8,6.5,1,0.3,4.9,0.6,0.6,2.9,0.4,72.7
40,1,5,Braden Smith,PG,PG10,IND,2.08,Two-Way (1 Year Deal),2003-07-25,SR,23.0109589,,,"It's not going to be easy for a guard at 5'10.25 barefoot to work in the NBA. Luckily, Braden Smith ends up in possibly the best team situation that could make him work. He's a fiery competitor and one of the top point guards coming out of Purdue last season. It's going to be tough for him, but if it works, the fantasy game is there as a pass-first type of player.",39,34.5,44,14.3,4.5,1.6,3.5,8.8,1.7,0.2,2.9,82.5
41,-5,5,Izaiyah Nelson,PF/C,C10/PF11,ORL,2.21,Two-Way (2 Year Deal),2003-10-01,SR,22.82465753,,,"I'm a big, big fan of Izaiyah Nelson staying in Florida and thought Orlando made a great choice in taking him in the late 2nd even if he wasn't a primary need. Despite being slightly undersized for a big man, he more than makes up for it on defense with length, physicality and a very high motor. I think this is a player that could really make a splash and surprise people this year. ",34,27.3,56.1,15.9,1.4,0.2,9.6,1.2,1.6,1.4,1.4,72.5
42,26,7,Ja'Kobi Gillespie,PG,PG14,SAS,2.12,Two-Way (1 Year Deal),2004-03-10,SR,22.38407815,,,"The biggest riser on my first post-draft ranks is Ja'Kobi Gillespie, who I was admittedly lower on IRL/in dynasty. San Antonio isn't exactly a great place for a deep rotation guard to find a role, but Gillespie is a blistering scorer, shooter and passer who doesn't make many mistakes. I'm interested in seeing if he could ever find a role. He could end up being a G League star.",37,34.8,41,18.4,8.2,2.8,2.8,5.4,2.1,0.2,2.3,81.4
43,5,7,Dillon Mitchell,PF,PF16,BOS,2.1,TBD,2003-10-03,SR,22.81917808,,,"I've come around a lot more on Dillon Mitchell, and it's encouraging to see him end up in an interesting situation with Boston. He's got some appeal in the fantasy game and has a handful of NBA-worthy skills that could make him a lot of money. Big time hustle guy and defender. It really just comes down to the 3-point shot for the ideal outcomes, but I'm willing to take a flier on the full package here.",37,28.1,55.9,8.3,0.4,0,7,3,1.3,0.7,1,49.4
44,8,6,Trevon Brazile,PF/C,PF14/C14,DEN,2.05,TBD,2003-01-07,SR,23.55616438,,,"After multiple disappointing seasons with Arkansas where he struggled to find consistency, Brazile had the best season of his career and got himself an early 2nd round selection. The fantasy profile is interesting if the shooting can be expanded on at this level. I question how much he's able to get on the court with such low feel but Nikola Jokic and Jamal Murray as your creators does help make life easy.",36,31.5,52.5,13,3.7,1.3,7.3,1.6,1.5,1.6,1.1,71.7
45,4,7,Jaden Bradley,PG,PG12,TOR,2.2,Two-Way (1 Year Deal),2003-09-14,SR,22.87123288,,,"The Raptors really like this archetype of glue guards (see: Jamal Shead, Alijah Martin). Toronto is getting good at finding these players that are scrappy defenders and using them effectively. Bradley is not a shooter but he can pass, set the table for teams like he did at Arizona and plays really tough. He’s a great locker room guy at worst and that absolutely matters.",39,30.6,46.3,13.3,1.7,0.7,3.4,4.4,1.4,0.1,1.7,80.9
46,1,7,Nick Martinelli,SF/PF,SF7,LAC,2.25,Two-Way (1 Year Deal),2004-04-20,SR,22.27205629,,,"Nick Martinelli is tough as nails and put Northwestern on his back this year. He's a solid scorer that's been efficient on both 2s and 3s and can do the little things role players need to do. Without much defense and lackluster athleticism, it's not an easy sell at the NBA level, but the Clippers are good at making funky players like him work. There could definitely be something here.",33,35.6,51,23,3.3,1.4,6.2,2,0.8,0.4,1.4,80.9
47,18,,Maliq Brown,PF,PF20,SAS,2.14,Two-Way (1 Year Deal),2003-11-16,SR,22.69863014,,,"It's hard to really know what to do with pure defensive bets like Maliq Brown. The defense is excellent and he's a wickedly smart, super high-motor player. He's a very valuable asset for San Antonio and could fit into some terrifying defensive rotations. The lack of offense is a big-time concern, but if it can ever come around, this could be a good fantasy player.",38,20.3,62.9,4.9,0.8,0.1,5.2,1.6,1.8,0.6,1.2,50
48,13,7,Otega Oweh,SG/SF,SG17,OKC,2.11,Two-Way (1 Year Deal),2003-06-21,SR,23.10410959,,,"Fitting that the Thunder drafted the guy whose ideal outcome is Lu Dort. Oweh's calling card is going to be his defense, and while we're not likely to see him play much if at all this year with OKC, he is a good piece to have in the system to see if he sticks. He was disappointing on the whole this year with Kentucky despite looking sharp in SEC play.",36,32.8,46.5,18.6,3.8,1.3,4.8,2.7,1.8,0.3,2.1,73.1
49,16,,Bryce Hopkins,SG/SF,SG20,DEN,2.19,TBD,2002-09-07,SR,23.89041096,,,"There's some definite appeal here for Denver and Hopkins. He's got some do-it-all wing stuff in his profile that I tend to like in late-round fliers. He can handle the ball, rebound, defend, has some good size for his position. The biggest swing to making this all work is the shooting with more volume, and as he showed at times that he can shoot a bit. Keep an eye on him. ",37,28.8,46.9,13.6,2.5,0.9,6.2,1.9,1.1,0.3,1.3,71.3
50,-14,,Aaron Nkrumah,SG/SF,SG10,DEN,UDFA,Exhibit-10,2002-03-15,SR,24.37260274,,,"The reporting on Nkrumah as an early second rounder was way off, as he went completely undrafted. I'm far from out, though. At 6'6 with a 6'10 WS, Nkrumah has a lot to like as a do-it-all wing with great defense, a balanced fantasy game and positive shooting indicators. He gets an Exhibit 10 contract with Denver, but personally, I firmly believe he's walking away from Summer League with a two-way contract.",33,31.4,43.8,17.7,4.6,1.6,5.5,3,2.8,0.5,2.4,78.6
51,-6,,Jack Kayil,PG/SG,,NYK,2.09,Overseas Stash,2007-01-27,N/A,19.50136986,,,"Jack Kayil was a stash for the New York Knicks as one of their many draft rights they own, but this is definitely the most notable one. Kayil projects to be a real-deal shooter, and considering he's still only 19, he has plenty of time to stay overseas and grow his game if New York ever decides to bring him stateside. This is a deep-league only pickup if you have the roster space to hold him.",60,21.3,38.3,12.2,5.5,1.6,2.9,3.7,1,0.2,2.4,77.8
52,9,,Lajae Jones,SG/SF,SG21,GSW,2.24,TBD (Possible Stash),2004-05-21,SR,22.18735684,,,"If the standout thing that gets later 2nd round players' feet in the door is defense, Lajae Jones has got something to unlock here at Golden State. Jones is a strong, phyiscal and tenacious wing. The rebounding, defense and athleticism are definitely NBA-caliber, but can he be a positive shooter at the next level? Worth noting: He holds an Israeli passport, so we may see him get stashed. ",33,29.5,42.7,12.7,5.1,1.7,5.7,1.1,1.2,1,1,76.3
53,3,7,Felix Okpara,C,C13,WAS,2.16,Two-Way (1 Year Deal),2004-04-20,SR,22.27205629,,,"Okpara is a very offensively limited big man and I don't think he's going to shine much for fantasy at the moment. He is purely a bet on the defense and a hot-running motor that can get him on the floor in the NBA. I do think there are routes to minutes in Washington, but there's a lot of names for Okpara to work around in that depth chart to become relevant.",35,26.9,59.7,8,0.3,0.1,6.3,0.5,0.4,1.5,1,63.5
54,4,,Tyler Bilodeau,PF,PF18,BKN,2.13,Two-Way (1 Year Deal),2004-04-17,SR,22.28025301,,,"Tyler Bilodeau is the newest Brooklyn Net and is a bit different from what they usually target in this rebuild. Bilodeau is a scorer who's got some old and new school mash-up to his game. The athleticism and defense could very likely hold him back, but there is definitely enough here with high-level shooting to find possible rotation roles in the NBA. ",31,30.2,51.8,17.6,4.5,2.1,5.6,1.1,0.5,0.4,1.3,87.3
55,-2,6,Tyler Nickel,SF/PF,SF6,NYK,2.17,TBD,2003-09-05,SR,22.89589041,,,"Nickel was one of the most important pieces to Vanderbilt's success. He's your quintessential high-feel shooting specialist. He has a lot of real-life skills to get him on the floor in the NBA. He shoots well, moves well off the ball, good frame at 6'7"", and has sound mechanics. It makes perfect sense why the Knicks would be looking for a guy like him coming off a championship. You can never have too much shooting.",36,30.6,44.5,13.5,7.6,3.1,3.3,1.2,0.8,0.5,0.7,84.7
56,3,7,Tobi Lawal,PF,PF15,DAL,2.18,Two-Way (1 Year Deal),2003-05-01,SR,23.24383562,,,"There's never been a question that Tobi Lawal is a fantastic athlete with tons of verticality and flair, but he has some real concerns elsewhere. At 6'8, he's limited as a power forward who just wasn't made for these times. Without an outside shot, it may never work, but there are worlds where he can be a plug-and-play energy spark. Maybe the big man whisperer, Dusty May, knows how to use him.",23,29.1,54.2,12.3,2.1,0.5,8.5,0.6,0.3,1.1,1.8,76.3
57,-8,6,Rafael Castro,C,C12,MIL,UDFA,Two-Way (2 Year Deal),2003-03-30,SR,23.33150685,,,"I was a bit surprised to see Rafael Castro go undrafted, as I thought he would warrant a late swing considering how many bigs went in Round 2. Castro's got really standout athleticism and hops plus the defensive tools that could make him an intriguing 2-way contract guy in the NBA. I like the fit in Milwaukee as a more traditional deep bench piece with some bulk.",29,27.3,62.7,15.3,0,0,9.1,1.7,1.8,1.7,1.9,66.1
58,,,Vsevolod Ishchenko,SG/SF,,DAL,2.26,TBD,2005-02-10,,21.4630137,,,"Word on the street is Ishchenko wants to jump into the NBA immediately. Despite not getting a ton of pre-draft hype, there is a lot to like with Ishchenko as a big, wiry 6'8 wing. He's got some plus skills to like as a passer and some shooting that may come along well. Dallas and Dusty May will likely play pretty big, so I can see the vision here. Very intriguing player that I will likely push higher if he signs a two-way deal.",48,23.6,50.6,8.7,0.7,1.5,4.6,2,1.3,0.7,1.6,78.1
