#,Player,Position,Team,DOB,Age,Prev. Rank, +/- Change,Notes/Outlook (Updated 7/10/2026)
27,Chet Holmgren,PF/C,OKC,2002-05-01,24.24383562,28,1,Chet has taken plenty of heat after the Thunder's WCF loss. I'm still expecting him to be a perennial All-Defense guy for a long time if he stays healthy.
28,Franz Wagner,SG/SF/PF,ORL,2001-08-27,24.92054795,27,-1,"More of the same from Franz Wagner, a continually good player with some team fit concerns and how him and Paolo mesh. "
29,Austin Reaves,PG/SG,LAL,1998-05-29,28.16712329,24,-5,"Unsurprisingly, Austin Reaves stays put in LA with a big contract in hand. Expect him to continue crushing and staying high in my ranks through his prime. "
30,1.04 / Caleb Wilson,SF/PF,CHI,2006-07-18,20.03013699,38,8,Caleb Wilson is my current 1.04 and has a lot of juice to his fantasy game. Will need time to develop more on offense but has a ton of potential here in CHI.
,TIER BREAK,,,,,,,
31,Jamal Murray,PG/SG,DEN,1997-02-23,29.42739726,35,4,Murray was great this past year as Denver's healthiest player on the roster. Expecting another strong year from him with DEN not likely to make many moves.
32,Darius Garland,PG/SG,LAC,2000-01-26,26.50429673,33,1,"Since being traded to the Clippers, Garland is starting to return to being the All-Star we've seen when healthy. Very excited about him leading LAC moving forward."
33,Jalen Brunson,PG/SG,NYK,1996-08-31,29.90866831,40,7,Congratulations to Jalen Brunson and the New York Knicks. He's still well within his prime but we will continue to monitor things as he turns 30 this next season.
34,LaMelo Ball,PG/SG,CHA -> MIN,2001-08-22,24.93424658,21,-13,LaMelo joins Anthony Edwards in Minnesota to form one of the most fiery backcourts in the NBA. Don't think this changes a ton for LaMelo.
35,Jalen Duren,C,DET,2003-11-18,22.69315068,32,-3,Jalen Duren is currently looking at sign-and-trade scenarios out of Detroit. I don't see any big jumps in his value. Staying the same or dropping a little are my best guesses.
36,Devin Booker,SG/SF,PHO,1996-10-30,29.74473389,30,-6,"We know what to expect with Booker, but he's almost 30 and remains in the same Suns situation. Is a drop coming soon?"
37,Karl-Anthony Towns,PF/C,NYK,1995-11-15,30.70136986,42,5,"KAT was a crucial piece for the Knicks in winning a championship. After a lot of questions about trades, he feels secure on this roster moving forward."
38,Trey Murphy III,SG/SF/PF,NOP,2000-06-18,26.11085411,37,-1,"Murphy is on the trade block with a lot of suitors. I'd imagine most landing spots will keep his value fairly insulated, but I'm guessing he stays put in NOLA."
39,Jaylen Brown,SG/SF,BOS -> PHI,1996-10-24,29.76112733,36,-3,This Jaylen Brown trade is going to shake up both Boston and Philly. What will his role look like as the potential third guy behind Maxey and Embiid?
,TIER BREAK,,,,,,,
40,Trae Young,PG/SG,WAS,1998-09-19,27.85753425,31,-9,"Trae Young can likely maintain fantasy value on some level, but I'm a bit concerned about the short-term splits for this Wizards squad with Dybantsa and AD."
41,Stephon Castle,PG/SG/SF,SAS,2004-11-01,21.73926941,47,6,Castle has continued to make strong progress in his second year with San Antonio. What does the ceiling look like with Dylan Harper and De'Aaron Fox in the mix?
42,Brandon Miller,SF/PF,CHA,2002-11-22,23.68219178,53,11,"Kon and Miller got handed the keys with LaMelo's departure. I've always been a bit skeptical of Miller, but this is his chance to show he can reach stardm."
43,Bam Adebayo,PF/C,MIA,1997-07-18,29.03013699,45,2,Bam sticks around in Miami and will be their second best player next to Giannis. They'll have a lot on their shoulders this year pending more FA moves.
44,VJ Edgecombe,PG/SG,PHI,2005-07-30,20.99726027,39,-5,"One big short-term loser of the Jaylen Brown trade: their young phenom VJ Edgecombe. Still in on him long-term, though."
45,Lauri Markkanen,SF/PF,UTA,1997-05-22,29.18630137,49,4,"I'm not terribly worried about Lauri moving forward, either leaving via trade or with JJJ and Kessler in the frontcourt. Dude's just a good player."
46,Donovan Clingan,C,POR,2004-02-23,22.427794,41,-5,"Despite some playoff struggles, Clingan had an amazing year and has taken a big leap developmentally. How much further can he go?"
47,Walker Kessler,C,UTA -> LAL,2001-07-26,25.00821918,71,24,"Walker Kessler lands in a very favorable situation in Los Angeles as the clearcut starter. Him, Luka and Reaves will make for a fun trio."
48,Alex Sarr,PF/C,WAS,2005-04-26,21.25753425,43,-5,"Sarr's outlook is not looking as good as it was early in the season with AD, Trae Young and the 1st overall pick coming in."
49,Keyonte George,PG/SG,UTA,2003-11-08,22.72054795,44,-5,George has established he belongs as a longer term starter. in Utah. What does Darryn Peterson incoming mean for him?
50,1.05 / Darius Acuff Jr.,PG,SAC,2006-11-16,19.69863014,48,-2,Acuff has been a straight-up star for Arkansas and there's no telling just how much further he can keep going. Concerns are obvious and there is a chance he's a bust.
51,Zach Edey,C,MEM,2002-05-14,24.20821918,54,3,"Edey is a dominant fantasy player when healthy, but his health has been a concern so far. Monitoring this, but comfortable with him in the top 50."
52,Brandon Ingram,SF/PF,TOR -> LAC,1997-09-02,28.90410959,80,28,Brandon Ingram takes a massive jump back to the top 50 in LAC. Tons of freedom and usage to soak up with Darius Garland as his PG. He's back to his NOLA days.
53,Jaren Jackson Jr.,PF/C,UTA,1999-09-15,26.86849315,61,8,JJJ got traded to Utah in a deal that feels like it happened forever ago. He will be a core starter in a MASSIVE starting 5.
54,1.06 / Keaton Wagler,PG/SG,LAC,2007-02-03,19.48219178,63,9,"Wagler was incredible for Illinois. He has some concern areas and needs to put on more weight, but the higher-level outcomes in LAC are very exciting."
55,Domantas Sabonis,PF/C,SAC,1996-05-03,30.23653717,50,-5,I have a lot of questions about Sabonis moving forward at age 30 and in a shaky Kings setting. Great fantasy player still.
,TIER BREAK,,,,,,,
56,Onyeka Okongwu,PF/C,ATL,2000-12-11,25.62997979,56,0,Okongwu continues to grow his game further as he expands his game from 3. Currently 37.9% from deep on 5.2 attempts. 
57,Desmond Bane,SG/SF,ORL,1998-06-25,28.09315068,58,1,Bane has remained at a high level even in Orlando. He's been their mainstay all year with plenty of injuries up and down the roster.
58,Kevin Durant,SF/PF,HOU,1988-09-29,37.82943334,51,-7,"KD and the Rockets have had some real turmoil this season, but it seems to have cooled out. How many more years does he have left at this level?"
59,James Harden,PG/SG,CLE,1989-08-26,36.92328767,46,-13,"James Harden was... well, he was James Harden again, as expected. He'll presumably sign a multi-year deal to stick around in Cleveland."
60,1.07 / Mikel Brown Jr.,PG/SG,BKN,2006-04-03,20.32054795,68,8,Mikel Brown has the makings of another star fantasy guard. He's not without his concerns but the upside is very strong.
61,De'Aaron Fox,PG/SG,SAS,1997-12-20,28.60547945,52,-9,Fox was frankly awful during the playoffs for the Spurs. Castle and Harper ran circles around him. His days are very numbered.
62,Zion Williamson,PF/C,NOP,2000-07-06,26.06167378,64,2,"It wasn't noticed as much this past year with how bad NOLA is, but Zion quietly had another strong season. Injuries remain a concern."
63,Stephen Curry,PG/SG,GSW,1988-03-14,38.37314919,66,3,"Steph Curry is still Steph Curry even at age 38, but there have been a lot of times he's looked human recently. Hold and enjoy the rest of the ride."
64,Anthony Davis,PF/C,WAS,1993-03-11,33.38356164,62,-2,AD gets traded to Washington as they aim to speed up the rebuild. Curious how he and Sarr mesh.
65,Collin Murray-Boyles,PF/C,TOR,2005-06-10,21.13424658,89,24,CMB has looked like a fantasy star in the making and was excellent for the Raptors in the playoffs. Super excited for his development.
66,Kel'el Ware,C,MIA -> MIL,2004-04-20,22.27205629,75,9,"Kel'el Ware is obviously talented, but the motor has been a real concern from college to now. He joins a wide-open Bucks team and has a chance to break out."
67,Ivica Zubac,C,IND,1997-03-18,29.36438356,59,-8,Zubac is now locked into the Pacers as a starter. I have questions about the fit but we know the talent and fantasy game is rock-solid.
,TIER BREAK,,,,,,,
68,Kawhi Leonard,SG/SF,LAC -> TOR,1991-06-29,35.08219178,72,4,He's baaaaack. Kawhi returns to Toronto for another run at a championship on a very interesting Raptors team. Health (and the Aspiration scandal) remain a concern.
69,1.08 / Kingston Flemings,PG/SG,ATL,2007-01-03,19.56712329,69,0,Flemings ends up in a very favorable situation with Atlanta. He could easily work his way up to a long-term starting role. 
70,Kyrie Irving,PG/SG,DAL,1992-03-23,34.34855902,65,-5,Kyrie is coming back to Dallas with a great situation for him and Cooper Flagg. Injuries and missed time remain a concern.
71,Pascal Siakam,SF/PF/C,IND,1994-04-02,32.32328767,73,2,"To me, Siakam is one of the more underrated top-end dynasty players and he feels very undervalued relative to the production. Still, he is now 32."
72,Matas Buzelis,SF/PF,CHI,2004-10-03,21.81850438,74,2,"There will be some concern about Caleb Wilson in town, but I'm not worried much about Buzelis. He, Giddey and Wilson are the long-term future and should mesh well."
73,OG Anunoby,SG/SF/PF,NYK,1997-07-17,29.03287671,83,10,We know what to expect with OG Anunoby at this point. He's clearly made his mark on the Knicks and is such a winning connective piece.
74,Derrick White,PG/SG,BOS,1994-07-02,32.0739726,78,4,Derrick White has been incredible this year. It's amazing how good he's been for fantasy despite the uncharacteristic sub-40 FG%. 
75,Tyler Herro,PG/SG,MIA -> MIL,2000-01-20,26.52069017,57,-18,"Despite going back home to Milwaukee, Herro ends up in a bit of a messy guard room. Not sure what to expect from him."
76,Joel Embiid,C,PHI,1994-03-16,32.36986301,70,-6,Missed time remains a massive concern from Joel Embiid. He's only played 96 of 246 possible regular season games in the last three seasons. 
77,Ja Morant,PG/SG,MEM -> POR,1999-08-10,26.96712329,67,-10,"This MEM-POR trade is fascinating. If Ja really wants to turn things around, this is his chance, but he comes into a very weird lineup (Scoot, Dame, Jrue)."
78,Dyson Daniels,PG/SG,ATL,2003-03-17,23.36712329,76,-2,"Dyson Daniels remains an all-world defender for Atlanta, but he took a slight step back from last year's breakout candidate."
79,Ausar Thompson,SG/SF,DET,2003-01-30,23.49315068,96,17,Ausar Thompson has been an otherworldly defender in the playoffs. Is there hope the offensive breakout comes this year?
80,Jalen Suggs,PG/SG,ORL,2001-06-03,25.15342466,84,4,Suggs needs to stay healthy for Orlando to be at their best. Very impactful player on the whole.
81,Cedric Coward,SG/SF,MEM,2003-09-11,22.87945205,86,5,"As expected, Coward has been up and down, but the highs have been very exciting. I remain high on him moving forward."
,TIER BREAK,,,,,,,
82,Ryan Rollins,PG/SG,MIL,2002-07-03,24.07123288,85,3,"Rollins has had an awesome breakout year in MIL. There's a lot of guards here now, but he is very clearly the most talented."
83,Nickeil Alexander-Walker,SG/SF,ATL,1998-09-02,27.90410959,97,14,NAW rightfully won Most Improved Player this year and risen into such a high-level player under Quin Synder.
84,Jarrett Allen,C,CLE,1998-04-21,28.27123288,88,4,Jarrett Allen continues to be Jarrett Allen. He's always younger than you'd think. Could he be a trade target with the market on bigs staying hot?
85,Kyshawn George,SG/SF,WAS,2003-12-12,22.62739726,82,-3,"George might see a slight squeeze on opportunities with Dybantsa here, but he has a lot of good malleability as a role player. I'm keeping him high."
86,Derik Queen,PF/C,NOP,2004-12-27,21.58626394,60,-26,"Queen flashed very high potential so far in his rookie season. The defense remains a major concern, but I'm still bought in on some level."
87,Jaden McDaniels,SF/PF,MIN,2000-09-29,25.82943334,104,17,McDaniels continues to flash fantasy upside as he gets better in this career year he's having. Great two-way player and is building up a reputation as an iron man.
88,Reed Sheppard,PG/SG,HOU,2004-06-24,22.09446066,77,-11,"We've seen some good stuff out of Sheppard that remind us why he went so high in drafts, but the concerns are still there, especially on defense."
89,Payton Pritchard,PG/SG,BOS,1998-01-28,28.49863014,106,17,Pritchard is primed for the breakout with Jaylen Brown gone. How far can he scale up with more freedom than ever before in Joe Mazzulla's offense?
90,Ace Bailey,SF/PF,UTA,2006-08-13,19.95890411,55,-35,Ace Bailey is one of the losers of Utah adding Darryn Peterson. He'll likely play the 6th man role this year if Walker Kessler sticks around.
91,Isaiah Hartenstein,C,OKC,1998-05-05,28.23287671,87,-4,"Hartenstein ends up staying in OKC on a more cap-friendly deal. Him, Mara and Sorber make for an intriguing big man rotation."
92,Michael Porter Jr.,SF/PF,BKN,1998-06-29,28.08219178,81,-11,MPJ takes a hit in the short term with Julius Randle now in town. Watching them play basketball on the same side of the court will be... interesting?
93,Coby White,PG/SG,CHA,2000-02-16,26.44691968,114,21,Coby White returns to Charlotte with a big contract in hand and a starting job with LaMelo gone. Are we going to see a possible return to his Chicago peak?
,TIER BREAK,,,,,,,
94,Scoot Henderson,PG/SG,POR,2004-02-03,22.48243881,107,13,Scoot missed a lot of the season. He's had some hit-or-miss performances but he really turned it on in the playoffs. Lot of questions about POR's guards. 
95,1.09 / Brayden Burries,PG/SG,MIL,2005-09-18,20.86027397,90,-5,"Burries has played himself firmly into lottery status and possesses a lot of the winning, two-way traits you want to see in a long-term NBA starter. "
96,Immanuel Quickley,PG/SG,TOR,1999-06-17,27.11506849,91,-5,"As always, Quickley is streaky and can run hot or cold depending on the night, but he's locked into TOR for the long haul and playing well."
97,Julius Randle,PF,MIN -> BKN,1994-11-29,31.6630137,79,-18,Dubious Handle goes back to the Big Apple. He and Michael Porter Jr. are going to chuck up plenty of tour dates this year.
98,Mikal Bridges,SG/SF,NYK,1996-08-30,29.91140055,93,-5,Mikal Bridges took a step back this year despite the Knicks winning the championship. We'll see how he bounces back.
99,1.10 / Yaxel Lendeborg,PF,GSW,2002-09-30,23.82739726,99,0,"If you're looking for a ready-to-go rookie with a juicy fantasy profile and tons of skills that NBA teams look for in role players, Yaxel is your man."
100,Nic Claxton,C,BKN -> CHI,1999-04-17,27.28219178,108,8,"Claxton has trended down towards the end of the Nets years, but he's in a great place to return to form in Chicago with a clearcut role."
101,1.11 / Aday Mara,C,OKC,2005-04-07,21.30958904,109,8,"Aday Mara has a lot of high-end fantasy upside, but managers are going to need to be patient to see it emerge."
102,1.12 / Morez Johnson Jr.,PF/C,DAL,2006-01-26,20.50410959,115,13,Love Morez Johnson's potential fantasy game. There's a lot of pathways to becoming an elite asset for years to come. Ceiling is much higher than you think.
103,Jalen Green,PG/SG,PHO,2002-02-09,24.46575342,110,7,Jalen Green had a really rough first season with the Suns with all the missed time with his hamstring. Hopefully he builds momentum going into next season.
104,Peyton Watson,SF/PF,DEN,2002-09-11,23.87945205,94,-10,Watson is a solid all-around player who could be a long-term staple for Denver. He's taken a huge leap over the last few months.
105,Naz Reid,PF/C,MIN -> CHA,1999-08-25,26.9260274,111,6,Naz Reid is due for a potential breakout with LaMelo Ball gone and looking like a look for a starting job.
106,Dejounte Murray,PG/SG,NOP,1996-09-19,29.85675575,99,-7,I've raised Murray a decent bit up here as he's coming back and looking OK following the Achilles tear. I'm skeptical still about his long-term outlook but deserves the bump.
107,Tari Eason,SF/PF,HOU,2001-05-10,25.21917808,105,-2,"Tari Eason lost tens of millions of dollars this past year, but on a relatively cheap deal, he's due for a solid year."
108,Ajay Mitchell,PG/SG,OKC,2002-06-25,24.09315068,116,8,Ajay has been incredible this year and in the playoffs. Unreal find by OKC. The leap next year could be special.
,TIER BREAK,,,,,,,
109,Anthony Black ,PG/SG/SF,ORL,2004-01-20,22.52069017,100,-9,The Magic need Anthony Black to be more consistent and closer to his strong stretch of play this past season.
110,Zach LaVine,SG/SF,SAC,1995-03-10,31.38630137,98,-12,"I think we know by now that LaVine is not super conducive to winning as a leading scorer, but the stats are stats all the same in a fantasy setting."
111,Jeremiah Fears,PG/SG,NOP,2006-10-14,19.7890411,102,-9,"Fears has, unsurprisingly, not been all that good or conducive to winning. The advanced numbers are bad. This is pretty normal for guards. I'm staying the course."
112,Egor Demin,PG/SG/SF,BKN,2006-03-03,20.40547945,117,5,"I am not one who tends to overreact to Summer League, but Egor has been extremely good. Sophomore year jump incoming."
113,Miles Bridges,SF/PF,CHA -> PHO,1998-03-21,28.35616438,138,25,Miles Bridges is the new starting PF for Phoenix and gives them a clearer piece to rely on in the frontcourt.
114,Mark Williams,C,PHO,2001-12-16,24.61643836,95,-19,"Not that it ever felt super likely he'd leave, but Mark Williams does return to Phoenix on a pretty team-friendly deal. "
115,Keegan Murray,SF/PF,SAC,2000-08-19,25.9414552,125,10,"I've been low on Keegan Murray for years. I just don't know that I buy him being much more than this. Clean stat profile, but nothing too exciting."
116,Josh Hart,SG/SF,NYK,1995-03-06,31.39726027,118,2,Hart has shot well from 3 this year and continues to deliver on the do-everything role he's made his bread off of.
117,Andrew Nembhard,PG/SG,IND,2000-01-16,26.53161913,120,3,"Despite a career-PPG year, Nembhard didnt step up like we hoped he would. A step back is likely coming when Haliburton is back to form. "
118,Tre Johnson,SG/SF,WAS,2006-03-07,20.39452055,103,-15,"We need to be patient and see what happens with Tre Johnson, but he will take one of the biggest hits from everything Washington has done since the trade deadline."
119,1.13 / Ebuka Okorie,PG/SG,DET,2007-04-10,19.30136986,123,4,"Okorie was a star for Stanford this year. Is he the star Cade Cunningham has always needed next to him? Time will tell, but there are star signs here."
120,Joan Beringer,C,MIN,2006-11-11,19.71232877,194,74,Joan is rising in a big way this offseason. He gets a big time vote of confidence from Minnesota as the center of the future when Rudy Gobert's time is up.
121,Devin Vassell,SG/SF,SAS,2000-08-23,25.93052624,113,-8,"Vassell has really struggled recently compared to these last few years. Still has plenty of potential to tap into, but he may be expendable soon."
122,RJ Barrett,SG/SF,TOR,2000-06-14,26.12178307,112,-10,RJ Barrett stays behind in Toronto and will likely remain a starter. His scoring will likely take a dip.
123,Khaman Malauch,C,PHO,2006-09-14,19.87123288,145,22,"Malauch was always going to require patience. If you have him, you need to understand what you signed up for. Some flashes have been interesting so far."
124,Day'Ron Sharpe,C,BKN,2001-11-06,24.7260274,203,79,"Day'Ron Sharpe takes a big jump as the incumbent starting center. Personally, I feel that the contract (2yr/$20m) screams sell-high with such a lack of commitment."
125,1.14 / Hannes Steinbach,PF/C,CHA,2006-05-01,20.24383562,130,5,"Hannes is the best rebounder in the class, bar none. The athleticism and lack of defense remains a concern but the measurements at the Combine are a big positive."
,TIER BREAK,,,,,,,
126,Paul George,SG/SF/PF,PHI -> BOS,1990-05-02,36.24109589,174,48,"I've been a bit lower on PG13 for a while now, but with landing in Boston, he's taking a big step."
127,Toumani Camara,SF/PF,POR,2000-05-08,26.22287596,141,14,I'm expecting a good year out of Camara with Portland lacking in their forward depth. Good role player who can do a bit of everything.
128,Norman Powell,SG/SF,MIA -> CHI,1993-05-25,33.17808219,119,-9,Norman Powell has been on a heater this past year for Miami in their tinkered offense. He signs with Chicago where he'll continue to have a good green light.
129,Myles Turner,C,MIL,1996-03-24,30.34582678,127,-2,Turner has been pretty disappointing this year for Milwaukee. Will be interesting what the plan is with him if Giannis is traded.
130,Cason Wallace,PG/SG,OKC,2003-11-07,22.72328767,146,16,"It feels like Cason Wallace's fantasy upside is limited, but I still like him enough long-term with his elite defense, especially if he goes elsewhere."
131,PJ Washington,PF/C,DAL,1998-08-23,27.93150685,139,8,"PJ Washington ends up in an interesting situation with Lively hurt, Gafford on the block and having an interesting fit with Morez Johnson."
132,Jabari Smith Jr.,PF,HOU,2003-05-13,23.2109589,121,-11,Jabari's career to date has been really disappointing. He's been a good role player with a lot of inconsistency.
133,Jakob Poeltl,C,TOR,1995-10-15,30.78630137,126,-7,Poeltl's back may be cooked. Wondering if he ends up getting salary dumped but there is still hope for him.
134,Fred VanVleet,PG/SG,HOU,1994-02-25,32.42191781,168,34,"With FVV, expect him to return to form on some level post-ACL tear. He'll be crucial to Houston's success this year."
135,Shaedon Sharpe,SG/SF,POR,2003-05-30,23.16438356,92,-43,"I've been underwhelmed by Sharpe, who just doesn't possess much of a fantasy game besides scoring and hasn't played all that well relative to his high usage."
136,Ty Jerome,PG/SG,MEM,1997-07-08,29.05753425,128,-8,"I'm not making much of the 15-game sample from last year, but in a starting/key 6th man role, I'm hopeful in seeing Jerome have a nice year."
137,Rudy Gobert,C,MIN,1992-06-26,34.08899618,134,-3,"More of the same as usual for Rudy Gobert, who delivers on his normal. LaMelo's playmaking will help him."
,TIER BREAK,,,,,,,
138,Kristaps Porzingis,PF/C,GSW,1995-08-02,30.9890411,135,-3,Kristaps Porzingis continues to suffer from POTS and may miss time here and there. Very solid fantasy performer when he does play.
139,1.15 / Bennett Stirtz,PG/SG,OKC,2003-10-03,22.81917808,144,5,"Stirtz has some question marks, but the fantasy appeal should come with zero questions. Great shooter and is an iron man."
140,Santi Aldama,SF/PF,MEM -> DAL,2001-01-10,25.54794521,132,-8,"I still like Aldama, but it's hard to really know what MEM looks like at their best. I think he's a key rotation piece, but Boozer, Lopez and Stewart hurt his value."
141,Aaron Gordon,SF/PF,DEN,1995-09-16,30.86575342,155,14,"Gordon has missed some time at different points of this year. With everyone on the table, will someone try and trade for him?"
142,Neemias Queta,C,BOS,1999-07-13,27.04383562,157,15,"Queta looked like a very solid starter for Boston this past year. Despite landing a big payday, he and Mitchell Robinson will split time."
143,Jared McCain,PG/SG,OKC,2004-02-20,22.43599072,136,-7,"McCain loses some value on the whole after going to OKC, but he's been playing extremely well with the opportunities given to him so far."
144,1.16 / Dailyn Swain,SG/SF,CHI,2005-07-15,21.03835616,152,8,"I have a lot of questions about Swain and how his game translates to the NBA in a new role, but the appeal as a do-everything wing/forward is all there."
145,1.17 / Cameron Carr,SG/SF,LAL,2004-11-21,21.6846246,NEW,NEW,Carr is in a great situation to play a good role as a rookie. He should've never fallen to the mid-20s in real life.
146,John Collins,PF/C,LAC -> DET,1997-09-23,28.84657534,158,12,"John Collins heads to Detroit to replace Tobias Harris. Frankly, it's a bit of a step-down for Detroit, but it is a lateral move for Collins' fantasy value."
147,Jaime Jaquez Jr.,SG/SF,MIA -> MIL,2001-02-18,25.44109589,124,-23,Jaquez's strong 6MOY campaign ends with him a bit buried in Milwaukee. Expecting he gets moved if he doesn't take up a big role.
148,Bilal Coulibaly,SG/SF,WAS,2004-07-26,22.00702897,140,-8,"I think Bilal is done as far as any higher level outcomes, but he's had a good season and has some good role player outcomes here. Still very young."
149,Dereck Lively II,C,DAL,2004-02-12,22.45784864,142,-7,This next season is a make-or-break one for me with Lively. I'm largely out on him being a top 100 player again if the foot injuries continue.
150,Ron Holland,SF/PF,DET,2005-07-07,21.06027397,169,19,I'm not sure Holland's true potential will ever be realized in Detroit. He's just not able to contribute much yet.
151,Maxime Raynaud,PF/C,SAC,2003-04-07,23.30958904,156,5,"Raynaud has been excelling so far in Sacramento. Despite questions around the center position, he should remain a core piece."
152,LeBron James,SG/SF/PF,LAL -> FA,1984-12-30,41.57806722,148,-4,"I'm fully expecting LeBron's final year to be 2026-2027, and by default, his value is pretty much deflated from here. We'll see where he ends up."
153,1.18 / Christian Anderson,PG/SG,CHA,2006-04-02,20.32328767,NEW,NEW,Anderson is a great shooter and playmaker who offers a lot of solid skills from a fantasy perspective. What does his role look like without LaMelo?
154,Thomas Sorber,C,OKC,2005-12-25,20.59178082,166,12,I'm still willing to be patient with Thomas Sorber even though OKC's center depth looks weird right now. Very fantasy-friendly profile. 
155,Carter Bryant,SF/PF,SAS,2005-11-26,20.67123288,232,77,Carter Bryant is a bit of a mystery box in terms of upside. The fantasy game is meh so far but the upside and phyiscal tools are very intriguing.
,TIER BREAK,,,,,,,
156,Ayo Dosumnu,PG/SG,MIN,2000-01-17,26.52888689,184,28,Grown folks online tried saying Ayo is a bottom 10 role player in the NBA. Minnesota dropped a bag on him this offseason.
